Day,Cash On Hand
1,3487400
2,3283840
3,2377412
4,313633
5,435270
6,507349
7,578630
8,623578
9,103033
10,554655
11,810826
12,997944
13,1212259
14,2553037
15,2510835
16,1323978
17,2039016
18,1477011
19,923151
20,2791031
21,2502662
22,2444154
23,3349083
24,2912323
25,2065330
26,1722163
27,1759390
28,2408764
29,2516912
30,1780272
31,2522396
32,2624745
33,2522219
34,1820264
35,1941929
36,1903330
37,3747161
38,4442599
39,4570080
40,4521609
41,3063472
42,4324435
43,4424714
44,4838025
45,4779790
46,3931512
47,3171619
48,3113877
49,4445226
50,4257059
51,3911626
52,2988513
53,2919918
54,2915182
55,3324266
56,4357838
57,4873226
58,4741065
59,6508547
60,6947311
61,7104071
62,7745611
63,7665130
64,7686369
65,7383742
66,6773087
67,6972675
68,7276299
69,7424159
70,7466895
71,7355015
72,7246576
73,7228382
74,7663417
75,7296753
76,8756439
77,9226835
78,9977838
79,10505827
80,11265439
81,11700369
82,12278858
83,12139369
84,12867847
85,12909885
86,12675511
87,13462146
88,12394224
89,12433892
90,13121593
