Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,216160,-216160
3,35532,14294,313120,-298826
4,141163,64153,352080,-287927
5,242760,-16724,390122,-406846
6,342881,-38743,428164,-466907
7,444204,-19881,468206,-488087
8,550093,39891,506248,-466357
9,654918,100588,529118,-428530
10,1135610,377960,568188,-190228
11,5581993,1997853,689696,1308157
12,5801823,2087996,737408,1350588
13,6096244,2257795,781004,1476791
14,8420192,3259581,866600,2392981
15,8502828,3268613,933478,2335135
16,8656068,3236703,998474,2238229
17,9840318,3592848,1146399,2446449
18,10173866,3689504,1211452,2478052
19,11689183,4097815,1368171,2729644
20,13650932,4724963,1477040,3247923
21,13789772,4790403,1624249,3166154
22,13957254,4889618,1681236,3208382
23,14963581,5307254,1759930,3547324
24,15126714,5390611,1818673,3571938
25,15303579,5507362,1915337,3592025
26,15521628,5665605,1979585,3686020
27,15723131,5657292,2043833,3613459
28,17502881,6391031,2175849,4215182
29,17682515,6519556,2272335,4247221
30,18306804,6732146,2360304,4371842
31,19964813,7280063,2515881,4764182
32,20472902,7450387,2651621,4798766
33,20632658,7550088,2725189,4824899
34,21417391,7808926,2844680,4964246
35,21584548,7909436,2920172,4989264
36,21767771,8011107,2995114,5015993
37,23665990,8943571,3079502,5864069
38,25130364,9658669,3151890,6506779
39,26023920,10176539,3222613,6953926
40,26193045,10287617,3295109,6992508
41,26339724,10363655,3371525,6992130
42,28306713,11054471,3530191,7524280
43,28451410,11147081,3609609,7537472
44,29148890,11378059,3737027,7641032
45,29346860,11493161,3836481,7656680
46,29507092,11446076,3938075,7508001
47,29692367,11509582,4074379,7435203
48,29790186,11542951,4185596,7357355
49,31347417,12048398,4365838,7682560
50,31446499,12115896,4472011,7643885
51,31542477,12182635,4587220,7595415
52,31638366,12231640,4724417,7507223
53,31738741,12277159,4855659,7421500
54,31837283,12350064,4992637,7357427
55,32915406,12990259,5274976,7715283
56,34580131,13876107,5500311,8375796
57,35267318,14242862,5707110,8535752
58,35463879,14361701,5836606,8525095
59,37444745,15282780,6084990,9197790
60,38306887,15661169,6285880,9375289
61,39118933,15923696,6537246,9381450
62,39927868,16333040,6734641,9593399
63,40014197,16349388,6844075,9500313
64,40126435,16440506,6955074,9480432
65,40229813,16393027,7044647,9343380
66,40460243,16493457,7297908,9190549
67,40744649,16644133,7391357,9247776
68,41137327,16862335,7483934,9373401
69,41388193,17014182,7590908,9418274
70,41527946,17121291,7707925,9408366
71,41679362,17244566,7795141,9444425
72,41860804,17432461,7897082,9530379
73,42318012,17668227,8006500,9656727
74,42876803,17661936,8150256,9506680
75,43341527,17659956,8243184,9411772
76,44869185,18140427,8331156,9804271
77,45425769,18159992,8437344,9717648
78,46826680,18742002,8536052,10200950
79,47444591,19137601,8645974,10486627
80,48433432,19729220,8722403,11001817
81,49836416,20383380,8851329,11527051
82,50485721,20802405,8937145,11860260
83,50584684,20866041,9041305,11819736
84,51473566,21110902,9166565,11930337
85,51590508,21191203,9246469,11930734
86,51741618,21290632,9323905,11952727
87,52871381,21471938,9419401,12038537
88,53001437,21543838,9524585,12005253
89,53127221,21605443,9610701,11980742
90,53920505,21670463,9716284,11940179
